Name,Type,start_x,start_y,dest_x,dest_y,early_depart,late_arrival,distance,time,kilowatts,cost
o0,o,145.1668046,-37.88698386,145.2463208,-37.87234387,710.7020747,749.945135,12.02796056,19.24306027,0,0
o1,o,144.9421523,-37.73755523,144.8584414,-37.85352685,579.1923382,629.2814623,20.80839234,30.08912414,0,0
o2,o,145.3551367,-37.77500169,145.2207286,-37.7416664,647.0721316,692.7951119,17.92490247,25.72298025,0,0
o3,o,145.1940394,-37.87450257,145.1482275,-37.88535494,754.5200714,794.0247901,12.02100074,19.50471875,0,0
o4,o,144.9212651,-37.8191756,145.1093316,-37.8805818,769.9862094,823.2814135,22.60158495,33.2952041,0,0
o5,o,144.9769229,-37.8178523,144.7782315,-37.72281446,600.580584,648.9077265,23.1608801,28.32714255,0,0
o6,o,145.2335611,-37.98588461,145.3549297,-38.02040594,636.3936355,671.5947236,10.25153672,15.20108807,0,0
o7,o,144.9349924,-37.81703289,145.0254816,-37.67628283,820.2106611,878.2071626,24.48389614,37.99650152,0,0
o8,o,145.2136443,-37.97624761,145.3116459,-37.86654578,711.5278158,760.1434365,19.77593199,28.61562071,0,0
o9,o,144.9424293,-37.71686526,145.0099436,-37.84494016,741.4067458,797.4543122,21.84104135,36.0475664,0,0
o10,o,145.0773466,-37.71695823,145.1539833,-37.65645963,834.8951136,873.5683963,13.36902295,18.67328261,0,0
o11,o,145.2215591,-37.90724177,145.2905482,-38.01785869,767.1853556,818.4865779,23.68971907,31.30122228,0,0
o12,o,145.1947864,-38.01447742,145.1827361,-38.00835721,628.8940524,661.4222761,11.2754013,12.52822367,0,0
o13,o,144.9140148,-37.7294246,144.7730565,-37.77364085,739.9647283,777.7560145,13.80142424,17.79128624,0,0
o14,o,144.9279325,-37.79860769,145.050913,-37.89682871,769.8363479,815.2654647,14.11849771,25.42911682,0,0
o15,o,144.5058881,-37.89104711,144.7192172,-37.84743592,541.367655,582.7178902,17.07958117,21.35023523,0,0
o16,o,144.8866936,-37.85364039,144.7601691,-37.77851449,752.7833595,791.0829684,14.71004613,18.29960889,0,0
o17,o,145.3127838,-38.02314328,145.1402568,-37.89594602,707.8583183,758.8492927,23.45684294,30.99097438,0,0
o18,o,145.2186263,-37.92312082,145.0150895,-37.88406072,803.2982665,858.2292357,22.4067044,34.93096926,0,0
o19,o,145.3118231,-37.76960045,145.3352241,-37.77462398,851.8252486,888.2594057,14.79074134,16.43415704,0,0
o20,o,144.707811,-37.94015081,144.665103,-37.83683993,600.7855623,638.6012871,12.43951079,17.81572479,0,0
o21,o,145.1034743,-37.66158139,145.0892235,-37.66104459,659.7329442,699.0697676,12.16761111,19.33682341,0,0
o22,o,145.1541349,-38.01010584,145.1667659,-38.0127668,825.3218051,857.8500288,11.2754013,12.52822367,0,0
o23,o,145.0390311,-37.66085623,144.9509946,-37.74393268,598.9295088,644.367093,16.18175397,25.43758413,0,0
o24,o,144.7664176,-37.71733498,144.7290778,-37.73099095,749.881474,783.8788219,12.59761308,13.99734787,0,0
o25,o,145.0680563,-37.80329638,145.0197306,-37.87902172,769.0960899,813.4646171,11.93457776,24.36852716,0,0
o26,o,144.8367719,-37.7937556,145.0040459,-37.82971477,685.2301582,730.9805888,14.2725169,25.7504306,0,0
o27,o,145.079008,-38.24785844,145.1463491,-38.12733934,669.8897611,707.6935403,16.25271644,17.80377928,0,0
o28,o,144.961704,-37.81501665,145.0960081,-37.81659034,656.4129127,707.9569376,18.8916078,31.54402485,0,0
o29,o,145.364439,-37.77171562,145.3010049,-37.79755778,617.0819343,655.1260891,13.10933047,18.04415484,0,0
o30,o,145.2648635,-37.86851482,145.3403113,-37.76110198,725.1996511,771.823881,19.83013611,26.62422985,0,0
o31,o,145.268607,-37.78965743,145.3359508,-37.77133791,858.637316,896.3723117,13.12027097,17.7349957,0,0
o32,o,145.1089775,-37.97864806,145.0828128,-38.04813147,711.5968668,750.1246083,12.70126948,18.52774154,0,0
o33,o,145.0561617,-37.95943565,145.164047,-37.87611172,603.4355944,646.8799831,14.50036125,23.44438875,0,0
o34,o,145.1556499,-37.83892448,145.0778673,-37.85008605,911.9483023,949.4028169,10.0645094,17.45451462,0,0
o35,o,145.1964384,-37.82602427,144.9486592,-37.81633995,783.5065426,840.3482515,23.04557282,36.84170888,0,0
o36,o,144.76321,-37.78421928,144.9229696,-37.68035056,664.3692093,710.6516834,21.0109817,26.2824741,0,0
o37,o,145.1265377,-37.71133913,145.1113015,-37.70775647,790.8245488,826.1104115,13.75727637,15.28586263,0,0
o38,o,145.2878188,-37.87256649,145.1552938,-37.83772733,711.5045615,750.3208162,12.35765729,18.81625469,0,0
o39,o,145.1781489,-37.83620068,145.0639154,-37.80827267,798.4809728,835.3004535,10.46771212,16.81948077,0,0
o40,o,145.1811246,-37.65928413,145.0673343,-37.72072945,802.106362,840.9916458,13.35895169,18.88528382,0,0
o41,o,145.2505324,-37.88328886,145.1233761,-37.77366024,572.2070588,617.6883003,18.76162529,25.4812415,0,0
o42,o,144.9713171,-37.84131432,145.0044163,-37.83874933,824.4666381,864.0394494,10.43526,19.57281136,0,0
o43,o,144.9208303,-37.81690708,144.9459211,-37.73321554,664.2763554,704.7012939,10.83031435,20.42493851,0,0
o44,o,145.2863155,-37.92899894,145.2528811,-37.99177172,627.5494538,667.2342224,12.51813735,19.68476852,0,0
o45,o,144.9959594,-37.76971609,144.7636063,-37.72017463,739.2715069,793.9584122,23.10573452,34.68690525,0,0
o46,o,145.1178313,-37.70817131,145.1272632,-37.72137055,720.7922735,756.0781361,13.75727637,15.28586263,0,0
o47,o,145.0869225,-37.96744715,145.1456521,-38.05014796,839.6731857,878.2009273,12.70126948,18.52774154,0,0
o48,o,145.072247,-37.53232735,145.0628166,-37.53675606,910.1635213,948.3195203,16.34039908,18.15599898,0,0
o49,o,145.0894603,-37.92021081,145.2049492,-38.0033014,836.4132574,883.18112,19.82181691,26.76786262,0,0
o50,o,145.2241135,-38.02299248,145.2088697,-37.82720934,543.6610381,594.206495,23.73533,30.54545691,0,0
o51,o,145.0192603,-37.72656335,145.1485939,-37.70138312,825.7789661,867.6731021,15.16817714,21.89413607,0,0
o52,o,144.9887737,-37.81862111,144.841403,-37.77401865,656.0967013,702.4723947,18.5106638,26.37569345,0,0
o53,o,145.1238609,-37.82625125,145.1041034,-37.81269553,842.886711,879.7061918,10.46771212,16.81948077,0,0
o54,o,145.2092185,-37.90265524,145.0736063,-37.86911461,671.3930218,715.4076323,15.14308257,24.01461045,0,0
o55,o,145.0661734,-37.71639255,145.0947594,-37.70145855,790.519521,825.8053836,13.75727637,15.28586263,0,0
o56,o,145.0978661,-37.87656631,145.2254083,-37.86594352,741.8575355,781.1005958,12.02796056,19.24306027,0,0
o57,o,144.9413851,-37.76418729,144.7478925,-37.71956068,742.0922679,791.0051236,23.13770075,28.91285564,0,0
o58,o,144.9809457,-37.80523466,145.1770785,-37.77320697,740.431873,790.1131573,20.45261212,29.68128426,0,0
o59,o,145.3345834,-38.02416978,145.1766171,-37.99577271,838.9203367,881.6609312,15.43964546,22.74059454,0,0
o60,o,145.2983196,-38.08560556,145.4592456,-38.07339017,806.8370078,853.1665899,21.2805429,26.32958205,0,0
o61,o,144.6789933,-37.85201491,144.6717587,-37.83748326,683.2955685,715.480835,10.96673987,12.18526652,0,0
o62,o,144.6855043,-37.83835365,144.6989856,-37.95233064,805.55103,843.1001911,12.3723774,17.54916108,0,0
o63,o,145.0613852,-37.97033281,145.1395568,-38.05494187,738.8555783,777.3833198,12.70126948,18.52774154,0,0
o64,o,144.9608109,-37.76927803,145.1015378,-37.75313096,766.9472071,808.2796015,11.13667778,21.33239444,0,0
o65,o,145.0457836,-37.65891804,145.0927279,-37.71631713,770.5420777,813.8310777,18.38463241,23.289,0,0
o66,o,145.1971642,-37.8310179,144.9314111,-37.8060938,784.5076163,841.3493251,23.04557282,36.84170888,0,0
o67,o,145.1785717,-38.13206793,145.0659522,-38.24135635,643.0540285,680.8833504,16.25546104,17.82932191,0,0
o68,o,145.3554817,-37.88843972,145.2376548,-37.92247612,591.0739585,636.0340987,17.24209524,24.96014021,0,0
o69,o,145.0201161,-37.67089636,145.0731175,-37.53255254,658.6171541,700.9949551,17.44923695,22.37780102,0,0
o70,o,144.8639894,-37.59038869,144.9252884,-37.66712736,813.9861259,853.1983825,14.26853824,19.21225658,0,0
o71,o,145.1016048,-37.77925057,145.2032633,-37.80795867,704.2100379,742.3964665,13.17744116,18.18642857,0,0
o72,o,145.2147371,-37.81930214,145.1588433,-37.83018563,552.9608792,589.5335026,10.65047388,16.57262331,0,0
o73,o,145.296937,-37.80746157,145.2619577,-37.85711713,660.2862462,696.3964841,10.58916532,16.1102379,0,0
o74,o,144.8980556,-37.75459626,144.966738,-37.83056404,628.5707183,666.5927116,10.06804839,18.02199331,0,0
o75,o,144.6438637,-37.9376086,144.8513618,-37.86589767,646.2732684,688.1849158,15.50609543,21.91164739,0,0
o76,o,144.799373,-37.7076166,144.8799683,-37.75104966,758.1431984,794.0759164,11.22462786,15.93271804,0,0
o77,o,145.134099,-37.65860625,145.1430798,-37.70568231,805.4048377,844.2901216,13.35895169,18.88528382,0,0
o78,o,144.9757634,-37.81240785,145.0329218,-37.75754738,880.2342607,928.5485949,14.42046238,28.31433422,0,0
o79,o,144.8444073,-37.70821999,144.9122763,-37.74954006,627.4689801,663.4016982,11.22462786,15.93271804,0,0
o80,o,145.2102721,-38.13562795,145.2381507,-38.13318729,671.2550143,702.4227975,10.05100484,11.16778316,0,0
o81,o,145.2010883,-37.91599787,145.0523922,-37.81036497,740.2923654,795.978088,24.98179447,35.68572267,0,0
o82,o,145.1900382,-38.13691093,145.0970351,-38.04786514,598.6795312,635.6678988,14.50689237,16.98836762,0,0
o83,o,145.0574544,-37.95851022,145.0729581,-37.8841365,738.62268,775.7724947,10.40477437,17.14981472,0,0
o84,o,145.1579608,-38.13881762,145.0441926,-38.23753159,570.9290526,608.7583745,16.25546104,17.82932191,0,0
o85,o,145.09689,-38.04824561,145.1233422,-37.97743305,642.009224,680.8181563,12.72868641,18.80893231,0,0
o86,o,145.2027715,-38.01478153,145.203207,-38.01037194,801.2862737,833.8144973,11.2754013,12.52822367,0,0
o87,o,144.6659711,-37.84459771,144.7059057,-37.83218527,636.3678546,668.5531211,10.96673987,12.18526652,0,0
o88,o,145.2459632,-37.82168427,145.1312137,-37.76138416,664.9890188,703.7009063,13.33532704,18.71188752,0,0
o89,o,144.9985403,-37.7445742,144.8867547,-37.80543434,776.8371203,822.1909264,14.34331598,25.35380609,0,0
o90,o,145.1692408,-37.76308393,145.2007389,-37.83594911,697.2591138,733.9667396,11.09919683,16.7076258,0,0
o91,o,145.1279299,-38.30129788,145.113546,-38.12680547,865.8354442,908.6426968,19.43918318,22.80725266,0,0
o92,o,145.1095579,-37.97283877,145.1874411,-37.90466422,770.2601771,815.9757621,16.53617768,25.71558493,0,0
o93,o,145.051058,-37.89663927,145.1060213,-37.82684112,543.5130182,590.5652638,14.52046167,27.05224562,0,0
o94,o,145.1198599,-37.97769883,144.9937695,-37.87716525,571.0922241,611.353868,12.66832717,20.2616439,0,0
o95,o,144.9896435,-37.81162537,145.0380049,-37.87724102,739.319952,781.8691989,12.33922796,22.54924688,0,0
o96,o,144.6541357,-37.94159266,144.6930282,-37.84111617,682.903572,720.7192968,12.43951079,17.81572479,0,0
o97,o,145.3073268,-38.09642374,145.1836518,-38.12272515,720.0968082,764.66636,19.09239563,24.56955177,0,0
o98,o,144.7606035,-37.7756432,144.7961873,-37.72251276,816.4039325,852.9092009,11.81945748,16.5052684,0,0
o99,o,145.1730145,-37.7818191,145.0420945,-37.79154061,824.8987342,863.9006295,12.81926804,19.00189538,0,0
o100,o,145.2150637,-38.13074662,145.1982204,-38.12990764,852.0250548,883.1928379,10.05100484,11.16778316,0,0
o101,o,145.1304705,-37.66775764,145.096936,-37.70462637,546.884757,585.7700408,13.35895169,18.88528382,0,0
o102,o,145.1621179,-37.8418513,145.1332457,-37.77819294,712.6607543,749.3496293,11.0522381,16.688875,0,0
o103,o,144.8176555,-37.78459708,144.7785215,-37.85514623,542.5143032,579.115206,12.69460783,16.60090283,0,0
o104,o,145.0229122,-37.73856054,145.0689588,-37.83216726,544.2097111,588.6839978,10.84195648,24.47428673,0,0
o105,o,145.2380114,-37.75246323,145.1715631,-37.76822099,668.7936971,706.1022513,12.01033422,17.30855423,0,0
o106,o,145.1409827,-37.90045674,145.2127898,-37.84313767,749.9066606,787.9907041,11.07335942,18.08404348,0,0
