Name,Type,start_x,start_y,dest_x,dest_y,early_depart,late_arrival,distance,time,kilowatts,cost
o0,o,145.0343864,-37.76420201,145.0441019,-37.76446639,719.7953123,745.4353133,5.076000888,5.640000987,0,0
o1,o,145.1561604,-37.65585707,145.1053612,-37.65777773,881.2951471,910.3570939,8.155752081,9.061946757,0,0
o2,o,144.8766361,-37.74829463,144.8956152,-37.74693599,594.4032701,623.0313004,7.765227274,8.628030304,0,0
o3,o,145.0962088,-37.96687761,145.0822794,-37.96471337,752.9202486,782.2929038,8.43538968,9.3726552,0,0
o4,o,145.1481057,-37.81780076,145.1036994,-37.82207507,660.806152,687.0296543,5.601152082,6.223502313,0,0
o5,o,145.1741756,-37.7787973,145.1423009,-37.82423114,719.2418124,754.1284196,8.828759118,14.88660725,0,0
o6,o,145.069684,-37.83704707,145.010653,-37.83027587,640.4762391,666.1390818,5.096558435,5.662842706,0,0
o7,o,144.9754274,-37.91095641,145.0162669,-37.96560866,671.480823,702.0014496,7.113287551,10.52062654,0,0
o8,o,145.0130591,-37.87845342,144.9590884,-37.87555541,729.5190215,759.891171,5.906423113,10.37214953,0,0
o9,o,144.952709,-37.87074603,144.9934945,-37.83264917,629.4288671,660.2270548,6.096978835,10.79818767,0,0
o10,o,144.9547173,-37.7547473,144.9479063,-37.76414953,814.4494724,840.7058273,5.630719347,6.25635483,0,0
o11,o,144.9975995,-37.81741436,145.0412563,-37.82569868,627.4056863,653.068529,5.096558435,5.662842706,0,0
o12,o,145.1316491,-37.77698422,145.1349874,-37.78091256,644.7795509,673.9206261,8.226967689,9.14107521,0,0
o13,o,144.9745625,-37.85478006,145.0295929,-37.89216858,586.9539723,618.7995418,6.877650285,11.84556955,0,0
o14,o,145.0143284,-37.8704052,145.0345241,-37.88963014,839.1262313,869.2977506,5.913101571,10.17151934,0,0
o15,o,145.0337989,-37.89106985,145.0675571,-37.92017289,606.9737277,638.1664402,6.48499088,11.19271258,0,0
o16,o,144.9707556,-37.80260257,144.9351531,-37.75655084,683.3772198,715.8793298,5.612819595,12.50210992,0,0
o17,o,145.1184089,-37.96532087,145.0618205,-37.96706746,617.0175139,646.3901691,8.43538968,9.3726552,0,0
o18,o,145.1155649,-37.79496628,145.161258,-37.77581327,656.208773,689.5974998,8.768503663,13.3887268,0,0
o19,o,145.0784362,-37.92241017,145.0029067,-37.89762434,770.6262164,801.907446,6.483858805,11.28122956,0,0
o20,o,145.0240409,-37.92233433,145.0365705,-37.95513182,677.8809965,708.6127104,6.53225486,10.73171389,0,0
o21,o,145.1131321,-37.82634938,145.1766973,-37.8264404,544.2573982,574.276648,5.884903357,10.01924979,0,0
o22,o,144.9470648,-37.80908069,144.9776476,-37.79970414,910.782487,940.7543513,8.974677865,9.971864294,0,0
o23,o,145.0234238,-37.90856796,145.0107558,-37.96147107,626.1893101,656.7099366,7.113287551,10.52062654,0,0
o24,o,145.1679657,-37.89077207,145.0901421,-37.86271539,734.6625767,771.1391582,9.478380369,16.47658144,0,0
o25,o,145.0801885,-37.85553594,145.0986132,-37.85114575,740.2471235,766.5065266,5.633462783,6.259403092,0,0
o26,o,145.1589674,-37.87686937,145.1241611,-37.82597112,868.1827519,903.9485652,8.968179054,15.76581334,0,0
o27,o,144.9238303,-37.81030185,145.0250119,-37.83564744,768.3898385,806.0881775,8.456946912,17.69833906,0,0
o28,o,145.0398904,-37.89796533,145.0804236,-37.87638473,612.7185297,641.9246839,5.109986087,9.206154185,0,0
o29,o,144.9134122,-37.78627214,144.8763184,-37.75678633,835.08199,870.2212397,8.210369211,15.13924971,0,0
o30,o,144.9821602,-37.73830996,144.9543711,-37.78986644,725.9609931,765.6920978,9.541426523,19.73110466,0,0
o31,o,144.9848526,-37.90299492,145.0633859,-37.88781156,684.0824137,714.8680732,6.366476823,10.78565945,0,0
o32,o,145.1311187,-37.83245546,145.1695847,-37.82390576,646.7590768,673.7228522,6.267397933,6.963775481,0,0
o33,o,144.9861014,-37.96105351,145.1275501,-37.96251115,741.2739843,773.7356073,8.037665278,12.46162306,0,0
o34,o,145.0635455,-37.95801675,144.9834909,-37.95410692,541.9217038,568.9567993,6.331585937,7.035095486,0,0
o35,o,145.0925853,-37.90364908,145.1233485,-37.91741016,627.067987,653.7283882,5.994361,6.660401111,0,0
o36,o,144.9150763,-37.82878958,144.9470648,-37.8113114,622.9896118,655.0037095,6.05411987,12.01409773,0,0
o37,o,145.0504747,-37.74807284,145.0953,-37.7458835,642.5255816,669.8813454,6.620187375,7.35576375,0,0
o38,o,145.0396003,-37.87735469,145.0322036,-37.89758645,796.7356435,823.8769523,6.427178,7.141308889,0,0
o39,o,145.1178285,-37.96919373,145.0818472,-37.90603737,882.1320825,918.0080009,9.87868178,15.87591845,0,0
o40,o,144.9016979,-37.81078208,145.0483071,-37.77300188,668.0713187,708.3276883,9.387543566,20.25636968,0,0
o41,o,144.9169203,-37.70419568,144.9773593,-37.71418805,598.4921749,625.112892,5.958645332,6.620717036,0,0
o42,o,145.0257816,-37.92601258,145.0180072,-37.96879726,853.7486177,884.4803316,6.53225486,10.73171389,0,0
o43,o,145.0339372,-37.75003569,145.0993618,-37.74667619,777.1141041,804.4698679,6.620187375,7.35576375,0,0
o44,o,145.0716707,-37.66202406,145.0467196,-37.68033265,632.9757609,660.9114191,7.142092347,7.935658163,0,0
o45,o,144.9595299,-37.81596186,145.0374315,-37.76948949,728.1701698,768.4265395,9.387543566,20.25636968,0,0
o46,o,144.9057567,-37.74535091,144.8685229,-37.73840674,590.9355135,619.5635438,7.765227274,8.628030304,0,0
o47,o,145.0140915,-37.96959441,145.0050998,-37.96651968,839.2186944,866.2537899,6.331585937,7.035095486,0,0
o48,o,145.067079,-37.85961044,145.0824544,-37.85661909,656.2025291,682.771541,5.912110744,6.569011938,0,0
o49,o,145.1235212,-37.78280119,145.1013145,-37.77925057,826.0666293,855.2077045,8.226967689,9.14107521,0,0
o50,o,144.9910931,-37.81068,144.9628581,-37.85817345,655.4631267,690.6359275,7.367963107,15.17280083,0,0
o51,o,145.0819892,-37.97344628,145.1287109,-37.96759902,853.3235063,882.6961615,8.43538968,9.3726552,0,0
o52,o,145.0411374,-37.80052321,145.0433137,-37.80857508,757.6589802,783.9532977,5.6648858,6.294317555,0,0
o53,o,145.1259886,-37.77834403,145.1542912,-37.77573772,571.8656451,601.0067204,8.226967689,9.14107521,0,0
o54,o,145.1382313,-37.81982006,145.1948417,-37.83892448,834.2466456,861.2104211,6.267397933,6.963775481,0,0
o55,o,144.9637332,-37.81346649,144.9803253,-37.79534638,754.6014285,788.773344,6.149870132,14.17191554,0,0
o56,o,145.0530517,-37.92498874,145.0837304,-37.97606615,542.8214015,575.4506135,8.231454667,12.629212,0,0
o57,o,145.1043935,-37.80358519,145.0186302,-37.83916544,656.3294316,690.5223855,7.129366097,14.19295394,0,0
o58,o,144.8897816,-37.68027521,144.9212305,-37.67733672,750.6022392,781.1150416,9.461522169,10.51280241,0,0
o59,o,145.081439,-37.85510448,145.0183401,-37.8316755,778.0094664,810.0600807,6.204055743,12.05061429,0,0
o60,o,145.1215133,-37.80003178,145.1074403,-37.81103223,614.197664,640.4919816,5.6648858,6.294317555,0,0
o61,o,144.8900259,-37.8426268,144.8507826,-37.86506482,636.4293712,667.7947198,8.879696221,11.36534858,0,0
o62,o,144.8360701,-37.72919816,144.9350089,-37.76962472,658.9721007,690.0126981,7.010951516,11.0405974,0,0
o63,o,145.1183451,-37.83601153,145.1446228,-37.82404201,817.3109745,847.4060659,5.897637183,10.09509132,0,0
o64,o,144.9838594,-37.76565248,144.9466049,-37.75530456,755.1753077,781.0320072,5.27102963,5.856699589,0,0
o65,o,145.0931402,-37.66153432,145.0670286,-37.67441815,628.5479585,656.4836167,7.142092347,7.935658163,0,0
o66,o,145.1720294,-37.88914314,145.0598778,-37.84217613,557.1169335,593.2032891,9.133315374,16.0863556,0,0
o67,o,144.9681772,-37.91198003,144.9910323,-37.96522906,569.4272967,599.9479232,7.113287551,10.52062654,0,0
o68,o,145.1564683,-37.76659677,145.1084265,-37.76731445,557.5514274,586.6925026,8.226967689,9.14107521,0,0
o69,o,144.9684937,-37.75942107,144.9508087,-37.76387747,558.2109933,584.0676929,5.27102963,5.856699589,0,0
o70,o,145.0104484,-37.895389,145.0799885,-37.86430572,570.9113824,600.1175366,5.109986087,9.206154185,0,0
o71,o,144.8995238,-37.79879673,144.9598809,-37.78480223,783.1264587,817.2983742,6.149870132,14.17191554,0,0
o72,o,145.1481777,-37.6706198,145.1043452,-37.65668559,765.2312403,794.2931871,8.155752081,9.061946757,0,0
o73,o,144.9830558,-37.97069523,145.0597748,-37.96412823,646.0320673,673.0671628,6.331585937,7.035095486,0,0
o74,o,145.0818089,-37.73735263,145.1003773,-37.74063664,881.0584969,908.4142606,6.620187375,7.35576375,0,0
o75,o,144.9637508,-37.7426119,144.9205122,-37.75602211,626.2904077,657.8561188,5.412644444,11.56571111,0,0
o76,o,144.9364439,-37.82144925,145.0151244,-37.78468885,852.3208259,888.4173113,6.57048794,16.09648533,0,0
o77,o,144.9705455,-37.80280445,145.0416019,-37.82336052,740.6966472,775.6472695,7.070210194,14.95062233,0,0
o78,o,144.8389451,-37.80267528,144.8701769,-37.8383122,542.0022481,574.22195,7.67179216,12.21970194,0,0
o79,o,145.0014563,-37.89720758,145.0201279,-37.87968316,663.2826715,693.654821,5.906423113,10.37214953,0,0
o80,o,145.1758264,-37.82939118,145.1334412,-37.82583511,630.4939351,657.4577106,6.267397933,6.963775481,0,0
o81,o,144.9884451,-37.78514236,144.9619947,-37.8180275,543.9372457,578.1567075,6.108941935,14.21946183,0,0
o82,o,145.0565675,-37.74935624,145.1073405,-37.75373492,653.813808,681.1695717,6.620187375,7.35576375,0,0
o83,o,144.9975995,-37.82781705,145.0619969,-37.82702266,911.7535097,937.4163524,5.096558435,5.662842706,0,0
o84,o,145.0311883,-37.88550044,145.0167463,-37.86388921,685.0287047,714.2348589,5.109986087,9.206154185,0,0
o85,o,145.0414857,-37.89618463,145.0466268,-37.87483225,834.1541042,863.3602583,5.109986087,9.206154185,0,0
o86,o,145.0963582,-37.91221659,145.1166677,-37.96797872,769.3090816,805.0149454,9.86461,15.70586378,0,0
o87,o,145.1128292,-37.82848325,145.1353282,-37.83090441,713.2863753,740.2501508,6.267397933,6.963775481,0,0
o88,o,145.1009971,-37.97993901,145.0700911,-37.97067453,669.5707784,698.9434336,8.43538968,9.3726552,0,0
o89,o,145.0980099,-37.79810387,145.0870071,-37.85095652,842.3272073,875.9453594,7.008335985,13.61815208,0,0
o90,o,145.1383256,-37.7719227,145.1615483,-37.77603991,643.3272399,672.4683151,8.226967689,9.14107521,0,0
o91,o,145.0780124,-37.85773104,145.1405354,-37.8767936,547.3382257,583.2016535,9.196012572,15.8634278,0,0
o92,o,145.0790292,-37.81908684,145.0938313,-37.82025944,828.7531584,854.9766607,5.601152082,6.223502313,0,0
o93,o,145.0896794,-37.95989128,145.0747343,-37.96042285,624.4825945,653.8552497,8.43538968,9.3726552,0,0
o94,o,145.0145265,-37.95961105,145.0188773,-37.9685695,540.972912,568.0080074,6.331585937,7.035095486,0,0
o95,o,145.0739262,-37.80812146,145.142825,-37.7794772,724.5152145,757.9039413,8.768503663,13.3887268,0,0
o96,o,145.0639822,-37.6637193,145.0235092,-37.66511316,632.8039287,660.7395869,7.142092347,7.935658163,0,0
o97,o,145.0170364,-37.8623746,145.0167463,-37.87320405,653.6195929,680.1886048,5.912110744,6.569011938,0,0
o98,o,144.9361578,-37.68144307,144.9096364,-37.66445258,625.3836216,655.896424,9.461522169,10.51280241,0,0
o99,o,145.0871287,-37.80218651,145.0968492,-37.80025859,654.2432825,680.5376001,5.6648858,6.294317555,0,0
o100,o,145.0271939,-37.90075813,145.0467224,-37.96260985,645.7599973,676.2806238,7.113287551,10.52062654,0,0
o101,o,145.0243998,-37.80235139,145.0127967,-37.80257819,875.6473878,902.3259284,6.010686571,6.678540634,0,0
o102,o,144.9244571,-37.71750628,144.9284877,-37.76426281,626.4934502,662.824155,9.624426032,16.33070476,0,0
o103,o,145.0640275,-37.8368201,145.0711344,-37.83137288,561.6002661,587.2631088,5.096558435,5.662842706,0,0
o104,o,145.1394868,-37.76942971,145.1052957,-37.8284298,910.9221401,945.8087474,8.828759118,14.88660725,0,0
o105,o,144.8721221,-37.79647686,144.8889279,-37.80532095,666.6794477,693.4201029,6.066589641,6.740655157,0,0
o106,o,145.0397398,-37.74392064,145.0342273,-37.75094162,618.2913725,645.6471363,6.620187375,7.35576375,0,0
o107,o,144.9715123,-37.92191293,145.0809021,-37.92514042,711.2942189,740.1207886,5.408568519,8.826569754,0,0
o108,o,144.9361578,-37.66938773,144.9313753,-37.67006585,654.6241418,685.1369442,9.461522169,10.51280241,0,0
o109,o,144.89907,-37.75225514,144.8760286,-37.77053096,635.4231024,661.6794572,5.630719347,6.25635483,0,0
o110,o,145.0299542,-37.84982227,144.9934079,-37.90379107,810.0395128,844.9196099,8.424894918,14.88009704,0,0
o111,o,145.0161788,-37.84164758,145.0630175,-37.85578605,682.9644719,714.0475529,6.343576932,11.08308104,0,0
o112,o,145.1326651,-37.76380161,145.1659026,-37.7730181,780.1186588,809.259734,8.226967689,9.14107521,0,0
o113,o,145.0995461,-37.97876197,145.0689114,-37.95327181,670.6460688,703.1637093,8.035078056,12.51764056,0,0
o114,o,145.1395309,-37.89401286,145.1556293,-37.88410483,854.8390481,888.8952325,8.202626811,14.05618433,0,0
o115,o,145.1524565,-37.83869749,145.1215385,-37.81966874,666.147832,693.1116074,6.267397933,6.963775481,0,0
o116,o,145.0484438,-37.74527954,145.0778921,-37.74395839,684.9051181,712.2608819,6.620187375,7.35576375,0,0
o117,o,145.0441019,-37.76937619,145.0150548,-37.71898137,722.4942766,755.626997,7.07278312,13.13272044,0,0
o118,o,145.1139904,-37.82874807,145.1791053,-37.82766335,745.0119168,774.8285653,6.07016288,9.816648484,0,0
o119,o,145.03492,-37.90944151,145.0760039,-37.87765778,625.4081708,656.6894004,6.483858805,11.28122956,0,0
o120,o,144.9167719,-37.7990992,144.9701106,-37.81777668,562.3211806,592.2930449,8.974677865,9.971864294,0,0
o121,o,145.06079,-37.96667152,144.9836359,-37.96906297,677.1502822,704.1853777,6.331585937,7.035095486,0,0
o122,o,144.9271835,-37.75504938,144.9360521,-37.69695593,652.4938369,688.2768267,9.727452063,15.78298984,0,0
o123,o,145.1377778,-37.88243802,145.1771091,-37.88308202,874.3271743,902.1111196,7.005550782,7.783945313,0,0
o124,o,145.0697684,-37.7573964,145.0229494,-37.80605578,843.4523904,880.4964942,8.133296969,17.04410378,0,0
