Name,Type,start_x,start_y,dest_x,dest_y,early_depart,late_arrival,distance,time,kilowatts,cost
o0,o,144.9336941,-37.6759805,144.8985128,-37.74727565,654.2794369,692.1488621,11.45333144,17.86942518,0,0
o1,o,144.9696386,-37.82319671,144.8662651,-37.8382365,541.6692968,581.5664404,12.35644107,19.89714357,0,0
o2,o,145.012624,-37.8814465,145.1446228,-37.81904901,543.8403622,590.8926078,14.52046167,27.05224562,0,0
o3,o,144.9169169,-37.80087621,145.0628999,-37.80914212,585.1495658,631.1340553,14.82538511,25.98448954,0,0
o4,o,145.1107211,-37.72272819,145.0879394,-37.70240135,649.097609,684.3834716,13.75727637,15.28586263,0,0
o5,o,145.1057875,-37.71397897,145.1321968,-37.71201794,640.8648953,676.1507579,13.75727637,15.28586263,0,0
o6,o,145.0390311,-37.66085623,144.9509946,-37.74393268,598.9295088,644.367093,16.18175397,25.43758413,0,0
o7,o,144.9273253,-37.76716313,145.0204061,-37.67854289,544.3085256,592.5812327,16.75542929,28.27270707,0,0
o8,o,144.9332529,-37.81794045,144.9550534,-37.73325328,656.8880131,699.2223755,10.6589495,22.33436242,0,0
o9,o,145.0116683,-37.82403425,145.1668268,-37.82572162,655.78169,697.4007355,12.36989057,21.61904545,0,0
o10,o,145.0172755,-37.76080292,144.9335492,-37.66908635,562.3984117,613.368886,18.27329087,30.97047436,0,0
o11,o,145.0466228,-37.81998666,145.0480086,-37.75411239,647.1535795,691.1034835,10.81827932,23.94990401,0,0
o12,o,145.021471,-37.89826842,145.0110459,-37.95665021,625.286082,662.3378734,10.42337998,17.05179141,0,0
o13,o,145.1415698,-37.83464963,145.0492621,-37.79095925,569.8833748,606.7028556,10.46771212,16.81948077,0,0
o14,o,144.9103945,-37.81278593,145.033502,-37.74256174,628.3335908,676.647925,14.42046238,28.31433422,0,0
o15,o,145.1437472,-37.83332556,145.0620294,-37.7953065,584.5468185,621.3662993,10.46771212,16.81948077,0,0
o16,o,144.9082196,-37.74825689,144.8747299,-37.80210835,628.30503,667.6956666,13.25243566,19.39063657,0,0
o17,o,144.8882264,-37.75040808,144.7950289,-37.71342422,569.8084271,605.310358,11.21118921,15.5019309,0,0
o18,o,145.0366183,-37.86555528,145.079923,-37.73591824,649.5659672,702.4543503,15.18058308,32.88838308,0,0
o19,o,145.008563,-37.87652117,144.9581865,-37.81120941,640.2661787,683.3413264,12.2861681,23.07514774,0,0
o20,o,145.0464129,-37.75305547,145.1159564,-37.65657261,543.8431045,591.5163218,17.09983889,27.67321735,0,0
o21,o,144.9809759,-37.7239983,144.955433,-37.68057659,643.3374503,686.3264961,14.76993865,22.98904572,0,0
o22,o,144.9999359,-37.80549936,145.0279613,-37.72803448,540.5140786,589.1230813,13.52089924,28.6090027,0,0
o23,o,145.0170028,-37.80824818,145.147905,-37.76882535,654.9848399,693.7055805,12.84037662,18.72074062,0,0
o24,o,145.1688054,-37.76825876,145.1287143,-37.71631713,599.008634,645.4412959,15.8212412,26.43266183,0,0
o25,o,144.8719772,-37.79118552,144.6656817,-37.84925238,617.8710705,664.5792081,21.22247554,26.7081376,0,0
o26,o,145.0538793,-37.87146225,145.1809079,-37.90860636,640.8528973,684.2201736,15.1523307,23.36727625,0,0
o27,o,145.0882284,-37.97025687,145.0447394,-37.90686193,627.1483604,663.8868202,11.24188024,16.73845976,0,0
o28,o,144.9725526,-37.76882484,145.0269565,-37.83160592,606.6604874,648.7740597,10.34592963,22.11357222,0,0
o29,o,145.1055769,-37.84879927,145.0323415,-37.73969296,589.1198965,636.167758,12.85193391,27.04786149,0,0
o30,o,145.1970176,-37.71523427,145.1065223,-37.66715508,591.4670813,628.0821461,11.07196693,16.61506481,0,0
o31,o,144.8614238,-37.7315003,144.9086313,-37.79258395,542.6372,582.0278365,13.25243566,19.39063657,0,0
o32,o,144.9234529,-37.72698904,145.0411431,-37.67010534,541.6030832,583.3010752,13.40148081,21.69799192,0,0
o33,o,144.806361,-37.76963616,144.9813403,-37.79995708,642.3576869,695.2627457,20.82532084,32.90505885,0,0
o34,o,145.0998979,-37.87649054,144.9293819,-37.80700121,542.0733973,596.3750683,22.83894347,34.30167103,0,0
o35,o,144.8326781,-37.71406532,144.9176073,-37.66577113,654.9584261,697.6979284,16.6504347,22.73950229,0,0
o36,o,145.1254926,-37.53409133,145.0286719,-37.67051968,571.1304862,613.9014649,17.4270962,22.77097864,0,0
o37,o,144.9520983,-37.81380947,145.0156804,-37.77670311,540.4987559,583.5263308,10.18793209,23.02757484,0,0
o38,o,144.7607483,-37.78123465,144.9691142,-37.73861185,655.3204996,702.8060183,20.56596036,27.48551862,0,0
o39,o,145.0552722,-37.52362006,144.9866315,-37.71456798,599.8732491,652.9757012,23.16532608,33.10245214,0,0
o40,o,145.1135405,-37.87281599,145.1718473,-38.00345345,659.6959052,704.6781367,18.95160223,24.98223155,0,0
o41,o,145.2097408,-37.83258184,145.0964147,-37.87315693,644.8414203,682.050663,10.49196146,17.2092427,0,0
o42,o,144.969278,-37.76170935,144.9396461,-37.7701156,569.9624778,610.2126371,10.28210037,20.25015934,0,0
o43,o,145.1430798,-37.71563831,145.0684951,-37.70839758,626.5443381,661.8302007,13.75727637,15.28586263,0,0
o44,o,145.1403903,-37.87948322,145.1232309,-37.7764554,656.9697272,702.2394395,15.08254142,25.2697123,0,0
o45,o,144.9022777,-37.8143739,145.1079618,-37.96851028,569.8722377,629.6520781,24.47837068,39.77984039,0,0
