Name,Type,start_x,start_y,dest_x,dest_y,early_depart,late_arrival,distance,time,kilowatts,cost
o0,o,145.1587808,-38.00945961,145.2507021,-37.99268328,742.0269358,780.2030827,12.03056124,18.17614683,0,0
o1,o,145.1478874,-37.66625124,145.1362598,-37.71209337,626.410567,665.2958508,13.35895169,18.88528382,0,0
o2,o,144.7714637,-37.77741886,144.7943049,-37.72175853,655.0110307,691.5162991,11.81945748,16.5052684,0,0
o3,o,145.0094332,-37.89694237,145.0327999,-37.94875462,625.6931021,662.7448935,10.42337998,17.05179141,0,0
o4,o,145.2489253,-38.09916638,145.19769,-38.0155418,768.1861965,812.0204786,16.85236344,23.83428215,0,0
o5,o,145.1459819,-37.70688909,145.0999909,-37.65438832,787.0418925,825.7151751,13.36902295,18.67328261,0,0
o6,o,145.0990271,-37.88160462,145.117451,-37.80048541,768.4261088,811.9118131,13.87473477,23.48570433,0,0
o7,o,145.1378727,-37.65416236,145.118847,-37.71669425,717.8933305,756.7786143,13.35895169,18.88528382,0,0
o8,o,145.2678941,-37.80028293,145.2288617,-37.74057162,627.5692151,663.5448403,10.27850064,15.97562516,0,0
o9,o,145.1097327,-37.77872175,145.0858707,-37.74678943,654.9693334,695.3383429,11.22404226,20.36900952,0,0
o10,o,144.8896523,-37.79235717,144.8407872,-37.70874795,739.8845781,783.7220397,17.71359138,23.83746163,0,0
o11,o,144.9695309,-37.79898577,144.8457105,-37.71730853,551.1151138,599.4422563,23.1608801,28.32714255,0,0
o12,o,144.9460105,-37.83124481,145.1176834,-37.96239724,768.622213,824.5534456,22.81860396,35.93123261,0,0
o13,o,145.0600143,-37.92654346,144.9052802,-37.82905121,809.1787623,857.4636924,16.0700955,28.28493018,0,0
o14,o,145.0368515,-37.7575549,144.7785211,-37.70942677,740.7254316,795.4123369,23.10573452,34.68690525,0,0
o15,o,145.305108,-37.85950269,145.2212409,-37.91360206,660.4342318,697.3986167,10.51012269,16.96438484,0,0
o16,o,144.9658696,-37.82206226,144.9393981,-37.73736655,815.3749279,857.7092903,10.6589495,22.33436242,0,0
o17,o,145.2309236,-37.99554479,145.1989106,-37.91626321,665.5418419,704.8408351,12.84781899,19.29899318,0,0
o18,o,145.1009115,-37.80392541,144.9499236,-37.82089,600.8106471,645.8038786,13.19857378,24.99323147,0,0
o19,o,144.955241,-37.79281427,144.8445887,-37.78112131,738.9477463,791.5276109,20.94809256,32.57986457,0,0
o20,o,145.110783,-37.88224861,145.3239595,-37.79457152,684.2260485,736.3830663,21.55594355,32.15701781,0,0
o21,o,144.8689348,-37.78612096,144.8715653,-37.74855882,628.720647,668.0778967,13.18596451,19.35724969,0,0
o22,o,145.1538558,-37.78348109,145.0450733,-37.73067497,557.4056182,607.7344566,16.67280071,30.32883841,0,0
o23,o,144.9822504,-37.80515903,145.1316197,-37.90186735,701.3285572,751.6909695,20.27551162,30.36241221,0,0
o24,o,144.9632602,-37.82009589,145.0076928,-37.8885693,777.0913651,819.640612,12.33922796,22.54924688,0,0
o25,o,145.1147841,-37.72261505,145.0575829,-37.73856054,740.1314877,779.955791,12.61157319,19.82430326,0,0
o26,o,145.2616844,-37.75495481,145.1316491,-37.7730181,899.5456241,936.8541783,12.01033422,17.30855423,0,0
o27,o,144.9678966,-37.67797716,144.8714205,-37.73417985,563.0265821,600.8960073,11.45333144,17.86942518,0,0
o28,o,145.0721228,-37.70798275,145.0546294,-37.65914405,626.9362765,671.2032666,18.33774045,24.26699012,0,0
o29,o,144.9051766,-37.79856988,145.0783025,-37.8419112,569.1375112,614.8651226,14.36927251,25.72761143,0,0
c0,d,0,0,0,0,0,0,0,0,0.25,7
c1,c,145.143552,-37.927929,0,0,0,0,0,0,22.0,0
c2,c,145.131936,-37.908137,0,0,0,0,0,0,22.0,0
