Name,Type,start_x,start_y,dest_x,dest_y,early_depart,late_arrival,distance,time,kilowatts,cost
o0,o,144.7349205,-37.56191819,144.9200826,-37.76309225,684.5789075,740.7665789,31.95752925,36.18767143,0,0
o1,o,145.1157323,-37.82409491,145.3600786,-37.77519055,622.0211716,678.1793524,25.02120404,36.15818082,0,0
o2,o,144.9359492,-37.84445496,144.689871,-37.93309333,768.2574146,821.5399515,27.79094556,33.28253685,0,0
o3,o,145.3050728,-37.80749937,145.0708003,-37.67404143,571.363539,649.0764077,36.04329186,57.71286866,0,0
o4,o,144.9581865,-37.81041529,145.1430798,-37.7072285,628.759733,690.6450229,26.21072767,41.88528984,0,0
o5,o,144.9663193,-37.77018442,144.7803648,-37.38118235,787.6912482,871.8819889,63.21820577,64.19074074,0,0
o6,o,144.9622008,-37.78990424,145.3406873,-38.01504531,655.4838573,730.5668865,47.31310926,55.08302914,0,0
o7,o,145.2908352,-37.79706637,144.9158581,-37.60610534,635.5564321,729.748183,58.16910314,74.19175085,0,0
o8,o,144.957851,-37.78986644,145.1205854,-37.97830634,746.1455372,810.1123811,25.16310021,43.96684387,0,0
o9,o,144.9934125,-37.81665474,145.1418496,-38.12676733,768.8084595,841.2762828,53.81300142,52.46782326,0,0
o10,o,144.9570658,-37.80817328,145.2453042,-37.87181366,766.7491909,830.6278915,33.95663569,43.87870064,0,0
o11,o,145.1750881,-38.14255474,145.0094608,-37.80038579,668.0714751,743.4073797,54.0492907,55.33590451,0,0
o12,o,145.1413344,-37.96475133,145.0680277,-37.74920525,797.489648,870.2732749,29.02947067,52.78362685,0,0
o13,o,145.0784856,-37.52125558,144.9737359,-37.71256665,742.0620958,797.1786797,27.12047765,35.11658394,0,0
o14,o,144.9377467,-37.81147411,144.6659711,-37.83714268,851.7011383,906.2662121,27.7961618,34.56507376,0,0
o15,o,145.2596511,-37.75933394,145.044502,-37.83088728,685.0196265,746.8595098,27.94061667,41.83988333,0,0
o16,o,145.1324329,-37.82952674,145.4036013,-37.77822866,886.6373985,956.5175564,36.7404078,49.88015796,0,0
o17,o,145.0856455,-37.85695987,145.2169525,-37.75895643,861.4439217,924.6404329,27.92225813,43.19651123,0,0
o18,o,145.1592576,-37.87838465,144.9154454,-37.77015336,674.5965672,734.9741008,31.81397113,40.37753363,0,0
o19,o,144.9201496,-37.83544926,144.957317,-37.6645656,739.2998141,792.0551095,26.55661354,32.75529542,0,0
o20,o,145.2104173,-38.13547541,144.9973407,-37.75590882,637.3268088,722.8762554,60.2563268,65.5494466,0,0
o21,o,145.0971404,-37.88243802,144.8357577,-37.79326426,729.7288836,790.9220013,30.2653222,41.19311772,0,0
o22,o,145.0509099,-37.75513156,145.1060515,-37.53544246,740.302427,801.0351152,28.33661255,40.73268816,0,0
o23,o,145.0917147,-37.90804656,144.9521543,-37.74544213,707.9833894,771.5597938,33.40113851,43.57640444,0,0
o24,o,145.4571426,-37.62878649,144.9626721,-37.83547872,729.8855011,832.1055941,61.47186724,82.22009302,0,0
o25,o,145.2684617,-37.79287049,145.0517036,-37.8631319,727.7954619,792.4187043,29.36794819,44.62324242,0,0
o26,o,144.9998297,-37.88055415,145.3426368,-37.76956267,600.1437697,685.748958,45.04024,65.60518833,0,0
o27,o,145.0610653,-37.89607097,145.4931393,-38.0684019,682.4400419,756.3426919,48.88832035,53.90264999,0,0
o28,o,145.0006996,-37.87184423,145.2504801,-37.86718951,668.1899215,735.9047775,30.3089651,47.71485599,0,0
o29,o,144.9097131,-37.83700066,145.1078758,-38.24678751,717.9962781,804.9104957,65.62648947,66.91421755,0,0
c0,d,0,0,0,0,0,0,0,0,0.25,7
c1,c,145.043688,-37.876073,0,0,0,0,0,0,50.0,0
c2,c,145.05643,-37.828606,0,0,0,0,0,0,120.0,0.5790974458341704
